SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
1,-0.1708,0.4641,0.8725,0.700,-8.610,0.280,1.34,1.26,1.22,1.27,1.24,2025-06-04T19:09:04.379877
2,-0.1610,0.4597,0.8721,0.665,-7.700,-0.070,1.29,1.25,1.28,1.38,1.24,2025-06-04T19:09:04.379877
3,-0.1698,0.4685,0.8672,0.595,-7.315,-0.420,1.28,1.26,1.39,1.39,1.23,2025-06-04T19:09:04.673732
4,-0.1703,0.4582,0.8740,0.595,-7.280,-0.350,1.34,1.23,1.38,1.24,1.16,2025-06-04T19:09:04.673732
5,-0.1674,0.4626,0.8691,0.665,-7.735,-0.140,1.30,1.22,1.35,1.19,1.20,2025-06-04T19:09:04.779095
6,-0.1708,0.4616,0.8701,0.630,-5.880,-0.875,1.30,1.24,1.35,1.33,1.25,2025-06-04T19:09:04.874459
7,-0.1757,0.4597,0.8691,0.455,-9.940,1.400,1.27,1.23,1.27,1.16,1.24,2025-06-04T19:09:05.078002
8,-0.1571,0.4597,0.8701,0.595,-6.510,-0.630,1.34,1.21,1.31,1.37,1.24,2025-06-04T19:09:05.078002
9,-0.1762,0.4636,0.8696,0.630,-7.665,0.105,1.35,1.22,1.36,1.31,1.25,2025-06-04T19:09:05.280888
10,-0.1664,0.4612,0.8721,0.595,-6.930,-0.385,1.33,1.23,1.33,1.19,1.24,2025-06-04T19:09:05.386899
11,-0.1684,0.4626,0.8711,0.630,-8.015,0.245,1.19,1.06,1.29,1.34,1.26,2025-06-04T19:09:05.489000
12,-0.1659,0.4626,0.8696,0.630,-7.210,-0.385,1.32,1.27,1.34,1.39,1.17,2025-06-04T19:09:05.797440
13,-0.1713,0.4616,0.8716,0.455,-7.350,-0.175,1.34,1.24,1.35,1.34,1.27,2025-06-04T19:09:05.797440
14,-0.1606,0.4563,0.8930,2.170,-5.670,2.240,1.35,1.25,1.35,1.30,1.14,2025-06-04T19:09:05.910249
15,-0.1425,0.4890,0.8725,-1.435,-10.710,-0.805,1.17,1.25,1.35,1.34,1.27,2025-06-04T19:09:05.910345
