SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
1996,-0.5407,0.0927,0.8730,0.980,-1.610,-2.415,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.613205
1997,-0.3982,0.4909,1.1341,-100.835,61.985,-81.585,0.00,0.0184,0.0254,0.0100,0.0174,2025-06-11T08:05:51.613205
1998,0.1220,0.3406,1.0834,-125.755,104.125,-72.065,0.00,0.0184,0.0508,0.0100,0.0087,2025-06-11T08:05:51.613205
1999,-0.2796,0.0376,1.9818,2.940,66.255,-33.635,0.00,0.0184,0.0508,0.0100,0.0174,2025-06-11T08:05:51.613205
2000,-0.6788,-0.6388,2.1101,156.345,90.020,53.795,0.01,0.0368,0.0508,0.0200,0.0087,2025-06-11T08:05:51.613205
2001,-0.5597,-0.1532,0.8296,89.705,122.010,32.200,0.01,0.0184,0.0508,0.0200,0.0087,2025-06-11T08:05:51.613205
2002,-0.7896,0.3172,-0.5685,244.860,174.965,68.040,0.00,0.0184,0.0254,0.0200,0.0087,2025-06-11T08:05:51.613205
2003,-0.5158,-0.0712,-0.3040,103.355,62.720,64.050,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.613205
2004,-0.4387,-0.5719,0.6588,-60.025,-43.365,75.740,0.00,0.0184,0.0508,0.0100,0.0087,2025-06-11T08:05:51.614180
2005,-0.4011,-0.6637,1.0453,-4.480,-154.665,44.590,0.00,0.0368,0.0254,0.0100,0.0087,2025-06-11T08:05:51.614180
2006,-0.3250,-0.5529,0.9531,23.660,-77.770,13.335,0.00,0.0368,0.0254,0.0200,0.0087,2025-06-11T08:05:51.614180
2007,-0.4943,-0.2664,0.8955,-7.140,16.940,5.670,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.614180
2008,-0.5217,-0.2616,0.9145,10.675,19.775,2.975,0.01,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.614180
2009,-0.5295,-0.3026,0.8115,1.015,-4.935,-8.225,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.614180
2010,-0.4958,-0.3719,0.7325,-26.600,-37.695,-5.250,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.614180
2011,-0.5017,-0.2591,0.6949,5.285,-20.335,-2.170,0.00,0.0184,0.0254,0.0200,0.0087,2025-06-11T08:05:51.835821
2012,-0.5187,-0.3460,1.0453,-3.990,2.905,9.135,0.01,0.0184,0.0508,0.0200,0.0174,2025-06-11T08:05:51.835821
2013,-0.5666,-0.3006,0.9287,5.250,10.850,8.890,0.01,0.0184,0.0254,0.0200,0.0087,2025-06-11T08:05:51.835821
2014,-1.1736,0.0439,1.5543,78.925,70.105,72.205,0.01,0.0184,0.0508,0.0100,0.0087,2025-06-11T08:05:51.835821
2015,-0.8843,-0.3865,0.6276,108.885,162.575,71.330,0.01,0.0368,0.0508,0.0200,0.0087,2025-06-11T08:05:51.835821
2016,0.7847,-1.1273,-0.0917,-60.655,40.705,3.115,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.835821
2017,-0.3436,-0.2884,1.1810,91.735,31.325,-22.295,0.00,0.0184,0.0508,0.0100,0.0087,2025-06-11T08:05:51.835821
2018,-0.6320,-0.4343,1.8710,61.670,-5.425,-11.690,0.01,0.0184,0.0254,0.0100,0.0174,2025-06-11T08:05:51.835821
2019,-0.7720,-0.3040,2.1711,126.385,-99.120,21.490,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.835821
2020,-0.9209,-0.1254,2.2316,205.415,-213.360,74.900,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.835821
2021,-1.2322,-0.1576,1.7841,268.590,-360.185,124.180,0.00,0.0184,0.0508,0.0100,0.0087,2025-06-11T08:05:51.835821
2022,-1.1039,0.4709,1.6216,414.610,-463.925,133.035,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.835821
2023,-1.3620,0.4509,0.8755,491.085,-610.785,275.555,0.00,0.0368,0.0254,0.0100,0.0087,2025-06-11T08:05:51.835821
2024,-0.9809,-0.4939,0.3875,388.465,-679.455,260.015,0.00,0.0000,0.0254,0.0200,0.0087,2025-06-11T08:05:51.835821
2025,-0.9658,-0.2865,0.7476,371.770,-757.330,251.335,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:51.835821
2026,-0.4333,-0.3201,0.5144,286.265,-675.990,233.275,0.00,0.0184,0.0508,0.0100,0.0174,2025-06-11T08:05:51.835821
2027,-0.1186,0.0283,0.3650,274.505,-576.975,239.050,0.01,0.0184,0.0508,0.0200,0.0087,2025-06-11T08:05:52.118689
2028,-0.1913,-0.0449,0.8725,286.335,-505.400,213.395,0.01,0.0184,0.0254,0.0200,0.0087,2025-06-11T08:05:52.118689
2029,-0.2713,-0.0825,0.4504,208.915,-494.200,170.625,0.00,0.0184,0.0508,0.0200,0.0087,2025-06-11T08:05:52.118689
2030,0.2103,0.0293,0.1225,72.975,-434.455,84.350,0.00,0.0184,0.0254,0.0200,0.0087,2025-06-11T08:05:52.118689
2031,0.7852,-0.1771,-1.8808,-114.520,-343.665,22.470,0.01,0.0184,0.0508,0.0200,0.0174,2025-06-11T08:05:52.118689
2032,1.9134,0.3387,-2.5566,-89.145,-165.025,10.010,0.00,0.0184,0.0254,0.0200,0.0087,2025-06-11T08:05:52.118689
2033,1.0599,0.0649,-2.9861,-136.465,291.900,-45.815,0.00,0.0368,0.0254,0.0100,0.0087,2025-06-11T08:05:52.118689
2034,-0.0883,0.1254,-1.8881,-201.530,741.580,-154.700,0.00,0.0184,0.0508,0.0200,0.0087,2025-06-11T08:05:52.118689
2035,-0.1913,-0.3377,-2.0969,-277.375,971.670,-200.340,0.00,0.0184,0.0508,0.0100,0.0087,2025-06-11T08:05:52.119698
2036,-2.1482,-1.1234,-0.4460,-431.690,1146.740,-225.470,0.00,0.0184,0.0508,0.0200,0.0087,2025-06-11T08:05:52.119698
2037,-2.5254,-1.1239,0.4978,-425.845,1107.085,-71.995,0.01,0.0184,0.0508,0.0100,0.0087,2025-06-11T08:05:52.119698
2038,-3.2052,-0.0156,1.5392,-164.045,900.410,24.710,0.00,0.0184,0.0254,0.0100,0.0174,2025-06-11T08:05:52.119698
2039,-3.6205,0.6437,4.1338,-122.185,530.530,61.985,0.00,0.0184,0.0254,0.0200,0.0087,2025-06-11T08:05:52.119698
2040,-2.0032,-0.7945,6.6719,-9.415,251.860,-45.850,0.00,0.0184,0.0254,0.0100,0.0174,2025-06-11T08:05:52.119698
2041,-0.7788,0.7569,5.5739,112.385,-203.000,-82.425,0.01,0.0184,0.0254,0.0200,0.0174,2025-06-11T08:05:52.221963
2042,-1.0277,0.6100,4.1724,-18.445,-566.475,-46.515,0.00,0.0368,0.0508,0.0200,0.0087,2025-06-11T08:05:52.221963
2043,-1.6485,0.5876,2.3922,274.890,-716.695,32.340,0.01,0.0368,0.0254,0.0100,0.0087,2025-06-11T08:05:52.221963
2044,-2.2321,0.2230,1.0902,602.595,-823.270,194.145,0.00,0.0184,0.0254,0.0100,0.0174,2025-06-11T08:05:52.221963
2045,-1.8315,-0.0922,-0.9897,552.300,-719.845,218.295,0.00,0.0368,0.0254,0.0200,0.0087,2025-06-11T08:05:52.221963
2046,-1.3132,-0.0312,-0.6193,195.580,-746.900,70.805,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:05:52.221963
