SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
1,-0.3294,-0.7413,0.6417,36.015,-3.885,-3.290,0.01,0.0184,0.0254,0.0100,0.0174,2025-06-11T08:03:28.204416
2,-0.3289,-0.7086,0.6837,56.210,-0.140,4.200,0.01,0.0368,0.0508,0.0100,0.0174,2025-06-11T08:03:28.204416
3,-0.3333,-0.6930,0.7066,57.890,0.735,3.990,0.00,0.0184,0.0508,0.0200,0.0000,2025-06-11T08:03:28.204416
4,-0.3475,-0.6666,0.7110,55.755,0.210,2.975,0.00,0.0368,0.0254,0.0200,0.0087,2025-06-11T08:03:28.204416
5,-0.3475,-0.6500,0.7183,40.355,-0.945,1.610,0.01,0.0552,0.0254,0.0200,0.0087,2025-06-11T08:03:28.204416
6,-0.3465,-0.6456,0.7315,26.775,-1.470,-0.280,0.01,0.0368,0.0508,0.0200,0.0087,2025-06-11T08:03:28.204416
7,-0.3518,-0.6437,0.7261,31.045,-2.730,-3.430,0.01,0.0368,0.0254,0.0100,0.0087,2025-06-11T08:03:28.204416
8,-0.3445,-0.6564,0.7359,47.705,-0.665,-4.655,0.01,0.0184,0.0254,0.0100,0.0262,2025-06-11T08:03:28.204416
9,-0.3411,-0.6686,0.7432,58.485,0.700,-4.830,0.01,0.0368,0.0254,0.0100,0.0087,2025-06-11T08:03:28.204416
10,-0.3192,-0.6764,0.7476,76.965,1.505,-2.415,0.01,0.0368,0.0508,0.0100,0.0087,2025-06-11T08:03:28.204416
11,-0.3221,-0.6568,0.7296,73.535,-0.805,0.840,0.01,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:03:28.204416
12,-0.3348,-0.6295,0.7320,58.170,0.700,2.590,0.01,0.0368,0.0254,0.0100,0.0174,2025-06-11T08:03:28.204416
13,-0.3445,-0.6037,0.7310,32.655,-1.785,1.715,0.01,0.0368,0.0508,0.0100,0.0087,2025-06-11T08:03:28.204416
14,-0.3528,-0.5812,0.7418,17.010,-5.180,-0.175,0.01,0.0184,0.0508,0.0200,0.0174,2025-06-11T08:03:28.204416
15,-0.3499,-0.5778,0.7998,6.510,-5.355,-2.520,0.00,0.0184,0.0254,0.0100,0.0174,2025-06-11T08:03:28.204416
16,-0.3567,-0.5763,0.8072,3.850,-7.525,-4.655,0.01,0.0184,0.0000,0.0100,0.0087,2025-06-11T08:03:28.204416
17,-0.3416,-0.5817,0.8076,11.445,-5.845,-5.425,0.00,0.0184,0.0254,0.0200,0.0087,2025-06-11T08:03:28.204416
18,-0.3318,-0.6061,0.7891,25.025,-1.190,-6.335,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-11T08:03:28.204416
19,-0.3289,-0.6227,0.7623,28.665,-1.855,-4.620,0.00,0.0184,0.0508,0.0100,0.0087,2025-06-11T08:03:28.204416
20,-0.3333,-0.6256,0.7466,25.060,-4.970,-1.575,0.01,0.0368,0.0508,0.0200,0.0174,2025-06-11T08:03:28.218303
21,-0.3260,-0.6037,0.7652,15.680,-4.270,1.470,0.01,0.0368,0.0508,0.0100,0.0174,2025-06-11T08:03:28.218303
