SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
1,-0.4143,-0.2020,0.9862,11.340,35.630,-72.310,0.97,0.0368,0.1273,0.0602,0.0174,2025-06-11T08:56:08.198677
2,-0.5388,-0.0859,0.9775,17.255,4.935,-77.315,0.97,0.0368,0.1529,0.0804,0.0174,2025-06-11T08:56:08.198677
3,-0.4431,-0.0791,0.9955,17.185,-8.925,-80.360,0.97,0.0368,0.1273,0.0703,0.0087,2025-06-11T08:56:08.198677
4,-0.3948,-0.0834,1.0326,18.620,-13.475,-82.040,0.97,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:08.198677
5,-0.3802,-0.1015,1.0829,16.975,-18.375,-78.715,0.97,0.0368,0.1273,0.0602,0.0174,2025-06-11T08:56:08.343758
6,-0.3748,-0.1171,1.0111,14.595,-19.355,-78.435,0.97,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:08.343758
7,-0.3362,-0.1347,0.9638,12.425,-7.665,-80.675,0.97,0.0368,0.1529,0.0602,0.0087,2025-06-11T08:56:08.343758
8,-0.4055,-0.1025,0.9628,10.500,-3.745,-79.030,0.97,0.0368,0.1529,0.0602,0.0087,2025-06-11T08:56:08.343758
9,-0.3660,-0.1181,1.0126,14.420,8.540,-77.770,0.97,0.0368,0.1529,0.0602,0.0174,2025-06-11T08:56:08.343758
10,-0.3572,-0.1200,0.9965,17.080,15.365,-76.825,0.97,0.0184,0.1529,0.0703,0.0174,2025-06-11T08:56:08.343758
11,-0.3870,-0.1147,0.9677,20.545,19.775,-76.475,0.97,0.0368,0.1529,0.0703,0.0087,2025-06-11T08:56:08.343758
12,-0.4021,-0.1025,0.9492,24.080,22.855,-75.390,0.97,0.0368,0.1529,0.0602,0.0087,2025-06-11T08:56:08.343758
13,-0.3997,-0.0820,0.9575,26.180,25.620,-73.115,0.97,0.0368,0.1273,0.0602,0.0087,2025-06-11T08:56:08.344830
14,-0.4046,-0.0630,0.9496,25.795,29.995,-70.700,0.97,0.0368,0.1529,0.0703,0.0087,2025-06-11T08:56:08.344830
15,-0.4377,-0.0473,0.9028,24.430,32.130,-67.725,0.97,0.0368,0.1273,0.0602,0.0174,2025-06-11T08:56:08.344830
16,-0.4817,-0.0415,0.8852,22.680,30.520,-64.120,0.97,0.0368,0.1273,0.0703,0.0174,2025-06-11T08:56:08.648229
17,-0.4904,-0.0342,0.8989,22.120,26.600,-59.185,0.97,0.0368,0.1529,0.0501,0.0087,2025-06-11T08:56:08.648229
18,-0.5139,-0.0307,0.8955,21.595,20.510,-55.755,0.97,0.0184,0.1529,0.0501,0.0174,2025-06-11T08:56:08.648229
19,-0.5183,-0.0249,0.8872,20.685,15.575,-53.305,0.97,0.0184,0.1273,0.0501,0.0087,2025-06-11T08:56:08.648229
20,-0.5022,-0.0215,0.8838,19.670,11.795,-51.835,0.97,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:08.648229
21,-0.4743,-0.0268,0.8872,17.395,13.160,-50.610,0.97,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:08.648229
22,-0.4738,-0.0215,0.8623,15.785,18.060,-48.440,0.97,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:08.648229
23,-0.4514,-0.0239,0.8438,13.965,23.905,-46.305,0.97,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:08.648229
24,-0.4255,-0.0522,0.8647,14.140,32.830,-41.615,0.96,0.0552,0.1273,0.0703,0.0087,2025-06-11T08:56:08.648229
25,-0.4929,-0.0664,0.8613,14.140,40.565,-36.995,0.97,0.0184,0.1273,0.0501,0.0087,2025-06-11T08:56:08.648229
26,-0.6163,-0.0927,0.8594,15.120,34.895,-34.020,0.97,0.0368,0.1273,0.0602,0.0174,2025-06-11T08:56:08.649224
27,-0.6564,-0.1069,0.8647,16.695,20.720,-31.885,0.97,0.0184,0.1273,0.0602,0.0087,2025-06-11T08:56:08.649224
28,-0.6422,-0.1147,0.8804,16.765,2.765,-29.925,0.97,0.0368,0.1273,0.0703,0.0174,2025-06-11T08:56:08.649224
29,-0.5754,-0.1108,0.9238,16.485,-7.630,-27.685,0.97,0.0184,0.1529,0.0703,0.0174,2025-06-11T08:56:08.649224
30,-0.5017,-0.1225,0.8926,14.420,-14.175,-23.765,0.97,0.0368,0.1273,0.0703,0.0174,2025-06-11T08:56:08.649224
31,-0.4631,-0.1381,0.8584,15.295,-11.025,-21.770,0.97,0.0552,0.1273,0.0501,0.0174,2025-06-11T08:56:08.753123
32,-0.4211,-0.1264,0.9418,16.730,-0.455,-19.565,0.97,0.0368,0.1273,0.0501,0.0174,2025-06-11T08:56:08.753123
33,-0.4612,-0.1430,0.9648,17.185,3.780,-18.585,0.97,0.0368,0.1529,0.0501,0.0174,2025-06-11T08:56:08.753123
34,-0.4963,-0.1698,0.9467,20.195,5.530,-19.390,0.97,0.0552,0.1273,0.0602,0.0087,2025-06-11T08:56:08.753123
35,-0.4895,-0.1703,0.9653,22.365,5.320,-20.090,0.97,0.0368,0.1529,0.0401,0.0000,2025-06-11T08:56:08.753123
36,-0.5139,-0.1923,0.9711,23.450,4.865,-20.545,0.97,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:08.753123
37,-0.5363,-0.2186,0.9711,22.715,4.445,-21.105,0.96,0.0184,0.1273,0.0401,0.0174,2025-06-11T08:56:08.753123
38,-0.5129,-0.2508,0.9423,22.120,6.230,-22.050,0.97,0.0368,0.1018,0.0401,0.0087,2025-06-11T08:56:08.754115
39,-0.5158,-0.2503,0.9501,21.490,12.110,-21.805,0.96,0.0184,0.1273,0.0501,0.0174,2025-06-11T08:56:08.754115
40,-0.5583,-0.2508,0.9179,17.990,17.780,-21.420,0.96,0.0368,0.1018,0.0401,0.0174,2025-06-11T08:56:08.754115
41,-0.6310,-0.2352,0.8867,14.910,14.315,-22.540,0.97,0.0368,0.1018,0.0602,0.0087,2025-06-11T08:56:08.754115
42,-0.6344,-0.2113,0.8979,9.555,7.875,-22.890,0.96,0.0184,0.1273,0.0501,0.0087,2025-06-11T08:56:08.754115
43,-0.5778,-0.2069,0.9472,4.865,4.130,-21.735,0.96,0.0184,0.1018,0.0401,0.0087,2025-06-11T08:56:08.754115
44,-0.6002,-0.2050,1.0033,-1.995,-0.105,-20.440,0.96,0.0368,0.1018,0.0300,0.0087,2025-06-11T08:56:08.754115
45,-0.6046,-0.2133,1.0121,-8.890,-7.770,-20.090,0.96,0.0368,0.1273,0.0602,0.0087,2025-06-11T08:56:08.754115
46,-0.5402,-0.2269,0.9936,-15.295,-8.610,-20.440,0.96,0.0184,0.1273,0.0401,0.0174,2025-06-11T08:56:09.238010
47,-0.5744,-0.2664,0.9736,-22.715,-10.570,-19.495,0.96,0.0368,0.1273,0.0501,0.0174,2025-06-11T08:56:09.238010
48,-0.5597,-0.2952,0.9726,-26.425,-16.800,-14.945,0.96,0.0368,0.1273,0.0401,0.0174,2025-06-11T08:56:09.238010
49,-0.5705,-0.2982,0.9721,-27.510,-26.530,-10.080,0.96,0.0184,0.1529,0.0501,0.0087,2025-06-11T08:56:09.238010
50,-0.5441,-0.3084,0.9804,-28.210,-31.570,-2.205,0.96,0.0368,0.1273,0.0401,0.0087,2025-06-11T08:56:09.238010
51,-0.5929,-0.3226,0.9902,-24.990,-38.710,3.500,0.96,0.0184,0.1273,0.0401,0.0087,2025-06-11T08:56:09.238010
52,-0.5846,-0.3113,0.9848,-21.490,-49.350,9.135,0.96,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:09.238010
53,-0.5266,-0.2913,0.9414,-18.760,-51.135,13.685,0.96,0.0368,0.1273,0.0401,0.0087,2025-06-11T08:56:09.239373
54,-0.5241,-0.2869,0.8921,-17.780,-47.565,17.430,0.96,0.0184,0.1273,0.0401,0.0174,2025-06-11T08:56:09.239373
55,-0.5197,-0.2855,0.8550,-15.470,-44.030,18.900,0.96,0.0368,0.1018,0.0501,0.0174,2025-06-11T08:56:09.239373
56,-0.4534,-0.2757,0.8291,-12.705,-37.625,18.935,0.96,0.0368,0.1273,0.0501,0.0174,2025-06-11T08:56:09.239373
57,-0.3997,-0.2747,0.7862,-9.240,-21.070,18.410,0.96,0.0368,0.1273,0.0703,0.0087,2025-06-11T08:56:09.239373
58,-0.4026,-0.2611,0.8057,-5.495,-5.180,15.575,0.96,0.0368,0.1529,0.0602,0.0087,2025-06-11T08:56:09.239373
59,-0.4158,-0.2567,0.8111,-0.910,14.910,10.990,0.96,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:09.239373
60,-0.4758,-0.2616,0.8018,1.015,28.420,6.160,0.96,0.0368,0.1529,0.0602,0.0087,2025-06-11T08:56:09.240018
61,-0.5588,-0.2591,0.8013,4.620,36.190,1.120,0.96,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:09.240018
62,-0.5695,-0.2621,0.8252,5.460,38.640,-1.085,0.96,0.0368,0.1529,0.0401,0.0087,2025-06-11T08:56:09.240018
63,-0.5915,-0.2704,0.8413,6.580,41.195,-0.560,0.96,0.0368,0.1529,0.0401,0.0174,2025-06-11T08:56:09.240018
64,-0.6188,-0.2962,0.8359,7.735,38.010,1.925,0.96,0.0368,0.1273,0.0401,0.0087,2025-06-11T08:56:09.240018
65,-0.6198,-0.3333,0.8125,12.670,30.205,4.060,0.96,0.0368,0.1529,0.0501,0.0174,2025-06-11T08:56:09.240018
66,-0.4231,-0.3128,0.8306,15.820,39.270,5.250,0.96,0.0552,0.1273,0.0401,0.0087,2025-06-11T08:56:09.240018
67,-0.5319,-0.2982,0.8540,22.225,47.390,5.285,0.96,0.0368,0.1529,0.0401,0.0174,2025-06-11T08:56:09.240018
68,-0.5597,-0.3079,0.7906,22.610,43.785,7.700,0.96,0.0368,0.1273,0.0501,0.0174,2025-06-11T08:56:09.240018
69,-0.6124,-0.2796,0.8477,27.930,25.690,8.050,0.96,0.0552,0.1273,0.0501,0.0087,2025-06-11T08:56:09.240018
70,-0.5924,-0.2518,0.8389,29.435,11.095,7.910,0.96,0.0368,0.1018,0.0401,0.0087,2025-06-11T08:56:09.240018
71,-0.5641,-0.2474,0.8140,28.700,-8.820,8.470,0.96,0.0184,0.1273,0.0401,0.0174,2025-06-11T08:56:09.240018
72,-0.5436,-0.2167,0.6359,25.935,-12.320,9.100,0.96,0.0368,0.1273,0.0401,0.0087,2025-06-11T08:56:09.240018
73,-0.5148,-0.1981,0.7418,24.500,-17.710,8.645,0.96,0.0368,0.1018,0.0501,0.0087,2025-06-11T08:56:09.240018
74,-0.4631,-0.1835,0.7564,19.320,-17.010,7.420,0.96,0.0368,0.1273,0.0300,0.0087,2025-06-11T08:56:09.240018
75,-0.4543,-0.1547,0.7413,14.350,-16.100,4.410,0.96,0.0368,0.1273,0.0501,0.0087,2025-06-11T08:56:09.240018
76,-0.4504,-0.1513,0.7052,8.015,-11.480,0.945,0.96,0.0368,0.0762,0.0401,0.0174,2025-06-11T08:56:09.240018
77,-0.4895,-0.1420,0.7193,3.360,-7.035,-2.100,0.96,0.0368,0.1018,0.0602,0.0087,2025-06-11T08:56:09.240018
78,-0.5417,-0.1669,0.7198,-2.065,-11.375,-3.885,0.96,0.0368,0.1273,0.0703,0.0087,2025-06-11T08:56:09.240018
79,-0.5900,-0.1508,0.6852,-8.015,-25.830,-5.215,0.96,0.0184,0.1018,0.0602,0.0087,2025-06-11T08:56:09.241015
80,-0.5256,-0.1586,0.6461,-12.180,-33.495,-5.565,0.96,0.0184,0.1018,0.0602,0.0087,2025-06-11T08:56:09.241015
81,-0.6183,-0.1264,0.6690,-14.560,-51.100,-3.570,0.96,0.0184,0.1018,0.0501,0.0087,2025-06-11T08:56:09.243943
82,-0.4543,-0.1293,0.6666,-18.165,-47.145,-2.555,0.96,0.0368,0.1018,0.0602,0.0087,2025-06-11T08:56:09.392253
83,-0.4202,-0.1010,0.6886,-23.345,-40.775,-2.485,0.96,0.0368,0.1018,0.0401,0.0174,2025-06-11T08:56:09.392253
84,-0.4343,-0.0795,0.7364,-24.500,-29.750,-4.865,0.96,0.0368,0.1018,0.0602,0.0174,2025-06-11T08:56:09.392253
85,-0.4714,-0.0810,0.7876,-26.670,-25.340,-8.295,0.97,0.0552,0.1018,0.0602,0.0087,2025-06-11T08:56:09.392253
86,-0.5202,-0.0859,0.8511,-24.045,-27.860,-11.445,0.97,0.0184,0.1018,0.0401,0.0087,2025-06-11T08:56:09.392253
87,-0.5534,-0.1035,0.8730,-22.855,-37.625,-14.000,0.96,0.0368,0.1018,0.0401,0.0087,2025-06-11T08:56:09.392253
88,-0.5607,-0.1122,0.8696,-19.845,-48.370,-16.695,0.97,0.0368,0.0762,0.0501,0.0087,2025-06-11T08:56:09.392253
89,-0.4665,-0.0991,0.8955,-18.900,-53.830,-16.555,0.96,0.0184,0.0762,0.0602,0.0087,2025-06-11T08:56:09.392253
90,-0.3787,-0.0752,0.8769,-25.410,-42.875,-14.840,0.96,0.0184,0.0762,0.0602,0.0087,2025-06-11T08:56:09.392975
91,-0.3855,-0.1171,0.8769,-26.355,-34.230,-13.615,0.96,0.0368,0.0762,0.0602,0.0087,2025-06-11T08:56:09.392975
92,-0.4158,-0.1401,0.9062,-31.290,-21.805,-10.535,0.96,0.0184,0.0762,0.0602,0.0087,2025-06-11T08:56:09.392975
93,-0.4860,-0.1728,0.9126,-31.745,-21.000,-7.210,0.97,0.0368,0.1018,0.0401,0.0174,2025-06-11T08:56:09.445398
94,-0.4568,-0.1962,0.9301,-33.495,-19.985,-4.375,0.97,0.0368,0.1018,0.0401,0.0174,2025-06-11T08:56:09.445398
95,-0.5290,-0.2513,0.8823,-36.190,-24.325,-4.690,0.97,0.0368,0.0762,0.0602,0.0087,2025-06-11T08:56:09.445398
96,-0.6124,-0.3050,0.7984,-32.305,-40.425,-14.770,0.97,0.0368,0.1018,0.0401,0.0087,2025-06-11T08:56:09.445398
97,-0.4446,-0.2489,1.1073,-12.845,-68.005,-25.445,0.97,0.0552,0.0762,0.0501,0.0087,2025-06-11T08:56:09.572313
98,-0.2181,-0.2157,1.3010,-13.265,-65.870,-27.965,0.96,0.0368,0.1018,0.0401,0.0087,2025-06-11T08:56:09.572313
99,-0.2011,-0.2830,1.2493,-11.620,-48.335,-35.035,0.96,0.0368,0.1018,0.0401,0.0174,2025-06-11T08:56:09.572313
100,-0.2791,-0.2948,1.2444,-10.710,-35.175,-40.075,0.96,0.0368,0.1273,0.0401,0.0087,2025-06-11T08:56:09.572313
101,-0.4846,-0.3113,1.1292,-17.885,-35.665,-40.810,0.96,0.0368,0.0762,0.0300,0.0087,2025-06-11T08:56:09.572313
102,-0.3372,-0.3382,1.0531,-25.165,-45.605,-37.800,0.96,0.0368,0.1018,0.0300,0.0087,2025-06-11T08:56:09.572313
103,-0.2806,-0.3655,0.9853,-32.690,-46.865,-33.530,0.96,0.0368,0.1018,0.0401,0.0087,2025-06-11T08:56:09.572313
104,-0.2943,-0.4055,1.0009,-39.690,-41.405,-32.340,0.96,0.0552,0.1018,0.0200,0.0174,2025-06-11T08:56:09.572313
105,-0.3211,-0.4846,1.0277,-44.870,-41.510,-35.945,0.96,0.0184,0.1018,0.0300,0.0000,2025-06-11T08:56:09.572313
106,-0.3016,-0.4909,1.0512,-45.290,-48.860,-42.490,0.96,0.0368,0.1273,0.0401,0.0174,2025-06-11T08:56:09.879886
107,-0.1801,-0.5275,1.0121,-47.845,-51.870,-47.915,0.96,0.0552,0.1273,0.0501,0.0087,2025-06-11T08:56:09.879886
108,-0.0522,-0.5895,1.0019,-47.110,-39.130,-52.675,0.96,0.0368,0.1018,0.0401,0.0174,2025-06-11T08:56:09.879886
