SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
1,-0.8804,0.2782,0.3987,0.140,-4.095,0.000,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-06T10:56:46.748556
2,-0.4333,0.4939,-0.0010,109.060,-59.710,141.225,3.00,0.0184,0.0508,0.0200,0.0087,2025-06-06T10:56:46.748556
3,-0.3953,0.6076,0.3479,114.310,-33.075,113.960,4.00,0.0184,0.0254,0.0100,0.0087,2025-06-06T10:56:46.749560
4,-0.4412,0.7788,0.4133,88.900,-37.380,94.780,1.00,0.0368,0.0000,0.0100,0.0087,2025-06-06T10:56:46.749560
5,-0.3816,0.8950,0.4202,73.115,-66.535,112.700,0.00,0.0184,0.0254,0.0100,0.0174,2025-06-06T10:56:46.749560
6,-0.3992,0.9701,0.4758,63.980,-87.465,137.095,0.00,0.0368,0.0508,0.0100,0.0000,2025-06-06T10:56:46.749560
7,-0.3767,0.9423,0.1425,62.370,-109.970,157.570,3.00,0.0184,0.0254,0.0200,0.0087,2025-06-06T10:56:46.749560
8,-0.2255,0.7544,0.3396,80.850,-97.720,175.245,2.00,0.0184,0.0254,0.0200,0.0087,2025-06-06T10:56:46.749560
9,-0.1952,0.6842,0.3309,84.070,-86.730,161.875,1.00,0.0184,0.0508,0.0200,0.0087,2025-06-06T10:56:46.749560
10,-0.1210,0.6222,0.3880,62.020,-66.465,140.665,1.00,0.0184,0.0508,0.0100,0.0087,2025-06-06T10:56:46.749560
11,-0.1557,0.6061,0.3997,31.780,-51.100,98.630,5.00,0.0184,0.0508,0.0100,0.0087,2025-06-06T10:56:46.749560
12,-0.0937,0.6510,0.3709,-0.630,-42.140,68.705,4.00,0.0184,0.0254,0.0300,0.0087,2025-06-06T10:56:46.749560
13,-0.0449,0.7271,0.4031,-7.350,-27.790,46.725,2.00,0.0184,0.0254,0.0100,0.0174,2025-06-06T10:56:46.749560
14,-0.0537,0.7618,0.4124,-16.135,-15.960,34.615,10.00,0.0368,0.0508,0.0200,0.0087,2025-06-06T10:56:46.997193
15,-0.0356,0.7593,0.3977,-22.155,-13.195,29.085,0.00,0.0184,0.0254,0.0200,0.0087,2025-06-06T10:56:46.997193
16,0.0000,0.7735,0.4436,-15.750,-5.845,25.550,1.00,0.0184,0.0000,0.0100,0.0174,2025-06-06T10:56:46.997193
17,-0.0083,0.8242,0.4333,-8.855,-4.585,20.440,0.00,0.0184,0.0254,0.0100,0.0174,2025-06-06T10:56:46.997193
18,-0.0015,0.8481,0.3845,-10.885,-7.245,22.190,0.00,0.0000,0.0762,0.0100,0.0087,2025-06-06T10:56:46.997193
19,0.0127,0.8223,0.3743,-14.945,-8.400,19.320,0.00,0.0000,0.0254,0.0300,0.0087,2025-06-06T10:56:46.997193
20,-0.0093,0.7793,0.3938,-14.385,4.270,6.125,4.00,0.0000,0.0254,0.0100,0.0087,2025-06-06T10:56:46.997193
21,-0.0049,0.7793,0.3694,-19.915,18.060,-12.880,2.00,0.0184,0.0508,0.0100,0.0174,2025-06-06T10:56:46.997193
22,-0.0366,0.7706,0.3704,-31.535,33.565,-25.585,1.00,0.0184,0.0508,0.0200,0.0174,2025-06-06T10:56:46.997193
23,-0.0093,0.7847,0.4675,-22.260,45.185,-25.375,3.00,0.0184,0.0000,0.0100,0.0087,2025-06-06T10:56:46.997193
24,-0.0234,0.8672,0.5329,-0.140,53.235,-21.000,2.00,0.0184,0.0508,0.0200,0.0087,2025-06-06T10:56:46.997193
25,-0.0742,0.8740,0.6368,1.855,48.475,-20.545,0.00,0.0184,0.0254,0.0100,0.0087,2025-06-06T10:56:46.997193
26,-0.1332,0.8584,0.5773,-1.820,29.015,-17.290,3.00,0.0184,0.0508,0.0200,0.0087,2025-06-06T10:56:46.997193
27,-0.1498,0.8813,0.7261,-10.220,1.820,-14.525,0.00,0.0368,0.0762,0.0100,0.0087,2025-06-06T10:56:46.997193
28,-0.0712,0.9692,0.7515,-30.100,-34.265,-2.835,0.00,0.0184,0.0508,0.0200,0.0174,2025-06-06T10:56:46.997193
29,-0.1054,0.9462,0.6700,-27.160,-69.930,17.325,2.00,0.0368,0.0508,0.0200,0.0087,2025-06-06T10:56:46.997193
30,-0.0644,0.9877,0.6149,-20.055,-86.730,33.495,1.00,0.0184,0.0254,0.0200,0.0000,2025-06-06T10:56:46.997193
31,0.1225,0.9643,0.5178,-10.430,-95.025,55.020,0.00,0.0184,0.0762,0.0000,0.0087,2025-06-06T10:56:47.159143
32,0.0039,0.9467,0.4387,6.545,-94.290,69.825,5.00,0.0184,0.0508,0.0200,0.0087,2025-06-06T10:56:47.159143
33,0.0337,0.8926,0.4207,20.230,-83.440,81.200,2.00,0.0184,0.1018,0.0100,0.0087,2025-06-06T10:56:47.159143
