SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
1,0.0956,0.2050,1.0004,0.280,-4.130,-0.210,1.00,0.01,0.00,0.01,0.00,2025-06-06T10:43:04.959030
2,-0.8125,-0.0971,0.6032,0.035,-4.760,-0.245,1.00,0.00,0.00,0.02,0.00,2025-06-06T10:43:04.959030
3,-0.8125,-0.0932,0.6041,0.525,-4.900,-0.140,2.00,0.01,0.01,0.02,0.00,2025-06-06T10:43:04.959030
4,-0.8125,-0.0991,0.6017,0.315,-4.690,-0.385,0.00,0.00,0.01,0.00,0.00,2025-06-06T10:43:04.959030
5,-0.8125,-0.0971,0.6017,0.315,-4.445,-0.315,1.00,0.01,0.01,0.00,0.00,2025-06-06T10:43:04.959030
6,-0.8120,-0.0991,0.6080,0.175,-4.130,-0.280,2.00,0.01,0.01,0.01,0.01,2025-06-06T10:43:04.959030
7,-0.8174,-0.0956,0.6002,0.140,-3.920,-0.420,0.00,0.00,0.01,0.00,0.00,2025-06-06T10:43:04.959030
8,-0.8125,-0.0981,0.6080,0.070,-3.990,-0.350,2.00,0.00,0.00,0.00,0.01,2025-06-06T10:43:04.959030
9,-0.8154,-0.0996,0.6041,0.070,-3.780,-0.420,2.00,0.00,0.01,0.00,0.00,2025-06-06T10:43:04.959030
10,-0.8101,-0.0976,0.6085,0.280,-3.920,-0.385,0.00,0.00,0.00,0.00,0.01,2025-06-06T10:43:04.959030
11,-0.8150,-0.1000,0.6032,0.245,-3.955,-0.420,0.00,0.01,0.00,0.00,0.00,2025-06-06T10:43:04.959030
12,-0.8159,-0.0956,0.6037,0.105,-3.885,-0.385,2.00,0.00,0.00,0.00,0.00,2025-06-06T10:43:04.959030
13,-0.8159,-0.0971,0.6071,-0.035,-3.885,-0.385,3.00,0.00,0.01,0.01,0.00,2025-06-06T10:43:04.959030
14,-0.8125,-0.0996,0.6051,-0.070,-3.955,-0.385,2.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:04.959030
15,-0.8135,-0.0976,0.6027,0.315,-3.990,-0.350,2.00,0.01,0.00,0.00,0.00,2025-06-06T10:43:04.959030
16,-0.8125,-0.1005,0.6027,0.385,-4.200,-0.280,1.00,0.01,0.00,0.01,0.00,2025-06-06T10:43:04.959030
17,-0.8135,-0.0991,0.6002,0.035,-3.955,-0.350,0.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:04.959030
18,-0.8135,-0.0942,0.6017,0.035,-4.130,-0.350,1.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:04.959030
19,-0.8111,-0.0991,0.6041,0.385,-4.340,-0.420,5.00,0.01,0.00,0.01,0.00,2025-06-06T10:43:04.959030
20,-0.8169,-0.0986,0.6022,0.350,-4.305,-0.315,2.00,0.00,0.00,0.01,0.01,2025-06-06T10:43:04.959030
21,-0.8111,-0.0981,0.6046,0.245,-4.410,-0.280,2.00,0.00,0.00,0.00,0.01,2025-06-06T10:43:04.959030
22,-0.8154,-0.0996,0.6017,0.140,-4.410,-0.245,0.00,0.01,0.01,0.02,0.00,2025-06-06T10:43:05.186991
23,-0.8169,-0.0947,0.6041,0.175,-4.410,-0.385,2.00,0.01,0.01,0.01,0.00,2025-06-06T10:43:05.186991
24,-0.8140,-0.0996,0.6032,0.245,-4.270,-0.350,0.00,0.01,0.01,0.00,0.01,2025-06-06T10:43:05.186991
25,-0.8140,-0.0981,0.6027,0.245,-4.235,-0.280,1.00,0.01,0.00,0.00,0.00,2025-06-06T10:43:05.186991
26,-0.8154,-0.0956,0.6027,0.315,-4.270,-0.315,2.00,0.01,0.00,0.02,0.00,2025-06-06T10:43:05.186991
27,-0.8120,-0.0971,0.6056,0.315,-4.130,-0.385,1.00,0.01,0.00,0.00,0.00,2025-06-06T10:43:05.186991
28,-0.8150,-0.0986,0.6037,0.070,-3.990,-0.280,1.00,0.01,0.00,0.01,0.00,2025-06-06T10:43:05.186991
29,-0.8145,-0.0976,0.6051,0.665,-4.340,-0.350,2.00,0.00,0.01,0.01,0.00,2025-06-06T10:43:05.186991
30,-0.8174,-0.0991,0.6022,0.945,-4.760,-0.525,0.00,0.01,0.00,0.00,0.00,2025-06-06T10:43:05.186991
31,-0.8125,-0.0986,0.6041,0.070,-4.480,-0.350,1.00,0.00,0.00,0.00,0.00,2025-06-06T10:43:05.186991
32,-0.8140,-0.0947,0.6056,-0.805,-3.815,-0.210,1.00,0.00,0.01,0.01,0.00,2025-06-06T10:43:05.186991
33,-0.8150,-0.0981,0.6012,0.385,-4.235,-0.280,5.00,0.00,0.01,0.01,0.00,2025-06-06T10:43:05.186991
34,-0.8130,-0.0952,0.6027,0.350,-4.375,-0.245,2.00,0.00,0.00,0.00,0.00,2025-06-06T10:43:05.186991
35,-0.8140,-0.0971,0.6027,0.315,-4.270,-0.350,1.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:05.186991
36,-0.8130,-0.0971,0.6041,0.070,-3.955,-0.350,2.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:05.186991
37,-0.8140,-0.0981,0.6027,0.105,-3.885,-0.350,2.00,0.00,0.01,0.01,0.00,2025-06-06T10:43:05.186991
38,-0.8130,-0.0961,0.6071,0.280,-4.025,-0.385,1.00,0.01,0.01,0.01,0.01,2025-06-06T10:43:05.395813
39,-0.8154,-0.0952,0.6032,0.175,-3.955,-0.385,2.00,0.00,0.01,0.02,0.00,2025-06-06T10:43:05.395813
40,-0.8154,-0.0961,0.6071,0.420,-4.305,-0.315,0.00,0.01,0.01,0.01,0.00,2025-06-06T10:43:05.395813
41,-0.8159,-0.0976,0.6046,0.070,-4.445,-0.315,2.00,0.00,0.01,0.01,0.00,2025-06-06T10:43:05.395813
42,-0.8164,-0.0966,0.6041,0.070,-4.270,-0.280,1.00,0.01,0.00,0.01,0.01,2025-06-06T10:43:05.395813
43,-0.8125,-0.0966,0.6056,0.105,-4.410,-0.315,0.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:05.395813
44,-0.8145,-0.0961,0.6012,0.455,-4.585,-0.315,0.00,0.00,0.01,0.01,0.00,2025-06-06T10:43:05.395813
45,-0.8130,-0.0966,0.6061,0.245,-4.480,-0.280,1.00,0.00,0.00,0.02,0.00,2025-06-06T10:43:05.395813
46,-0.8145,-0.0981,0.6037,0.210,-4.340,-0.350,2.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:05.395813
47,-0.8140,-0.0971,0.6027,0.035,-3.955,-0.245,3.00,0.00,0.00,0.00,0.00,2025-06-06T10:43:05.395813
48,-0.8164,-0.0976,0.6032,0.315,-3.920,-0.455,1.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:05.395813
49,-0.8154,-0.1005,0.6022,0.420,-4.025,-0.420,2.00,0.00,0.00,0.00,0.00,2025-06-06T10:43:05.395813
50,-0.8145,-0.0976,0.6032,0.175,-3.990,-0.315,3.00,0.00,0.00,0.00,0.00,2025-06-06T10:43:05.395813
51,-0.8150,-0.0966,0.6022,0.105,-3.850,-0.350,1.00,0.00,0.01,0.02,0.00,2025-06-06T10:43:05.395813
52,-0.8150,-0.0971,0.6012,0.000,-3.920,-0.315,0.00,0.01,0.00,0.00,0.00,2025-06-06T10:43:05.395813
53,-0.8154,-0.0971,0.6022,0.175,-4.130,-0.385,1.00,0.00,0.01,0.02,0.00,2025-06-06T10:43:05.395813
54,-0.8140,-0.0981,0.6032,0.350,-4.340,-0.350,2.00,0.00,0.01,0.00,0.01,2025-06-06T10:43:05.496165
55,-0.8159,-0.0952,0.6037,0.350,-4.445,-0.315,2.00,0.01,0.01,0.01,0.00,2025-06-06T10:43:05.496165
56,-0.8140,-0.0971,0.6012,0.175,-4.445,-0.315,0.00,0.00,0.00,0.03,0.01,2025-06-06T10:43:05.496165
57,-0.8115,-0.0981,0.6046,0.105,-4.235,-0.280,2.00,0.01,0.01,0.00,0.00,2025-06-06T10:43:05.496165
58,-0.8164,-0.0956,0.6027,0.420,-4.340,-0.280,2.00,0.01,0.02,0.01,0.01,2025-06-06T10:43:05.496165
59,-0.8125,-0.0952,0.6027,0.280,-4.305,-0.385,2.00,0.00,0.01,0.00,0.00,2025-06-06T10:43:05.496165
60,-0.8145,-0.0976,0.6051,0.140,-4.270,-0.280,1.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:05.496165
61,-0.8135,-0.0981,0.6046,0.000,-4.130,-0.385,2.00,0.00,0.00,0.01,0.00,2025-06-06T10:43:05.496165
62,-0.8130,-0.0966,0.6032,0.175,-4.165,-0.280,0.00,0.00,0.01,0.00,0.00,2025-06-06T10:43:05.601153
63,-0.8159,-0.0976,0.6056,0.350,-4.410,-0.350,2.00,0.00,0.02,0.01,0.00,2025-06-06T10:43:05.601153
64,-0.8130,-0.0971,0.6032,0.245,-4.340,-0.385,1.00,0.01,0.00,0.01,0.01,2025-06-06T10:43:05.601153
65,-0.8135,-0.0996,0.6046,0.175,-4.305,-0.350,3.00,0.00,0.01,0.00,0.01,2025-06-06T10:43:05.601153
66,-0.8179,-0.0971,0.6051,0.105,-4.165,-0.350,1.00,0.00,0.01,0.01,0.01,2025-06-06T10:43:05.601153
67,-0.8135,-0.0956,0.6041,0.210,-4.130,-0.175,3.00,0.01,0.02,0.01,0.00,2025-06-06T10:43:05.601153
68,-0.8150,-0.1015,0.6017,0.175,-4.025,-0.350,0.00,0.00,0.00,0.02,0.00,2025-06-06T10:43:05.601153
69,-0.8150,-0.0956,0.6017,0.140,-3.990,-0.385,2.00,0.01,0.01,0.03,0.00,2025-06-06T10:43:05.601153
70,-0.8140,-0.0976,0.6027,0.140,-3.990,-0.350,0.00,0.01,0.01,0.00,0.00,2025-06-06T10:43:05.650220
