Min_AccX_Val,Max_AccX_Val,AccX_Amplitude,AccX_Ord(1=Max>Min),Min_AccZ_Val,Max_Roll_Val,Min_Roll_Val,Roll_Ord(1=Max>Min),Max_Pitch_Val,Min_Pitch_Val,Pitch_Ord(1=Max>Min),Type_Coup
-0.1537466666666666,0.0139666666666666,0.1677133333333333,0,1.05512,236.4833333333333,-230.52166666666668,0,225.96,-181.2743333333333,0,direct
-0.52356,-0.3048733333333333,0.2186866666666667,0,0.97004,192.77533333333332,-236.67933333333332,0,218.04533333333336,-187.453,0,direct
-0.37164,-0.1170133333333333,0.2546266666666666,1,0.60872,240.947,-258.601,0,177.92833333333334,-163.46633333333332,0,direct
-0.3468466666666666,-0.1837199999999999,0.1631266666666666,0,0.6439666666666667,215.4226666666667,-237.40733333333336,0,169.42099999999996,-132.05033333333333,0,direct
-0.0792199999999999,0.08098,0.1602,1,0.85908,247.58766666666668,-275.79533333333336,0,219.5643333333333,-185.44866666666667,0,direct
-0.0148799999999999,0.1434266666666666,0.1583066666666666,1,0.8909866666666667,212.2983333333333,-266.10966666666667,0,237.41666666666663,-206.801,0,direct
0.09312,0.2885066666666667,0.1953866666666666,1,0.82006,221.949,-298.21866666666665,0,224.64866666666663,-190.58666666666667,0,direct
-0.2437466666666666,0.03008,0.2738266666666666,1,0.8419266666666666,225.9693333333333,-261.254,0,179.7133333333333,-163.387,0,direct
-0.2016066666666666,0.0447599999999999,0.2463666666666666,1,0.9048533333333334,203.47366666666667,-235.96766666666664,0,167.60566666666668,-172.29799999999997,0,direct
-0.1818333333333333,-0.0806199999999999,0.1012133333333333,1,0.8707266666666666,197.029,-253.70566666666667,0,179.99333333333334,-163.55266666666665,0,
-0.0580266666666667,0.16398,0.2220066666666666,0,1.00402,189.82366666666667,-232.603,0,233.42666666666668,-200.508,0,direct
0.0561866666666666,0.1679399999999999,0.1117533333333333,0,0.8027999999999998,198.177,-244.75033333333332,0,269.29,-194.17766666666665,0,direct
0.1886,0.2370066666666666,0.0484066666666666,0,0.71404,223.12266666666665,-269.7403333333333,0,213.836,-212.5456666666667,0,direct
0.3104599999999999,0.4521533333333333,0.1416933333333333,1,0.9669533333333332,210.24733333333333,-276.7286666666667,0,252.36166666666668,-208.45766666666665,0,direct
0.2397066666666666,0.4118066666666666,0.1720999999999999,0,0.8741666666666666,203.96366666666663,-265.93,0,242.543,-191.226,0,direct
0.13212,0.50644,0.37432,1,0.3999666666666667,226.191,-298.69,0,219.345,-267.85033333333337,0,direct
0.05432,0.3094133333333334,0.2550933333333334,0,0.61356,230.8716666666667,-271.55333333333334,0,228.20466666666664,-201.614,0,direct
0.15976,0.2420733333333333,0.0823133333333333,0,0.4341933333333332,214.49166666666667,-269.5303333333333,0,285.42033333333336,-223.062,0,direct
-0.1368599999999999,0.7148800000000001,0.85174,1,-0.4983066666666667,222.355,-305.0996666666667,0,212.632,-189.00233333333333,0,direct
0.37824,0.45372,0.0754799999999999,1,-0.1057666666666667,195.426,-265.6546666666667,0,198.03000000000003,-234.01466666666664,0,direct
0.16156,0.2920933333333334,0.1305333333333334,1,0.5531733333333333,200.88366666666664,-265.6546666666667,0,203.35,-234.01466666666664,0,direct
0.5886866666666666,0.7312533333333333,0.1425666666666667,1,0.8218933333333333,218.4933333333333,-246.66133333333337,0,262.8173333333333,-196.2893333333333,0,direct
0.2398133333333333,0.3779533333333333,0.1381399999999999,1,0.4983799999999999,235.01566666666665,-293.7923333333334,0,224.07466666666667,-160.49133333333333,0,direct
0.0411533333333333,0.07664,0.0354866666666666,1,1.0097599999999998,163.79999999999998,-286.7736666666667,0,209.54966666666667,-233.317,0,direct
-0.1341933333333333,-0.0136933333333333,0.1205,0,1.0195933333333334,143.878,-236.201,0,217.73266666666663,-130.046,0,direct
0.06078,0.12884,0.06806,0,0.75214,178.71233333333333,-234.35533333333336,0,201.7913333333333,-130.14633333333333,0,direct
0.2837866666666667,0.3253066666666667,0.04152,0,0.9721266666666666,171.26433333333335,-250.6443333333333,0,231.161,-210.89833333333337,0,direct
0.17568,0.2296466666666666,0.0539666666666666,1,1.02542,169.68933333333334,-243.25466666666668,0,223.1063333333333,-175.889,0,direct
-0.1549866666666666,0.0734733333333333,0.22846,1,0.8745133333333333,151.25366666666665,-278.9173333333334,0,236.16133333333332,-219.27266666666668,0,direct
-0.0298999999999999,0.0368933333333333,0.0667933333333333,1,1.0583399999999998,159.36666666666667,-267.12933333333336,0,204.71033333333332,-254.22133333333332,0,direct
-0.2319533333333333,-0.0256333333333333,0.20632,0,0.72976,158.291,-263.0833333333333,0,179.26066666666665,-242.26066666666665,0,direct
-0.0004799999999999,0.1381133333333333,0.1385933333333333,1,0.7501533333333333,169.694,-259.2613333333333,0,193.011,-234.84766666666667,0,direct
-1.6309866666666666,-0.0019199999999999,1.6290666666666669,1,-1.0053666666666667,241.8103333333333,-264.8473333333333,0,40.98033333333332,-91.49,0,crochet
-1.48546,0.3295666666666666,1.8150266666666663,1,-0.7050733333333333,262.542,-251.84366666666668,0,96.19399999999996,-61.61866666666669,0,crochet
-1.63922,0.2288533333333333,1.8680733333333333,1,-0.8163066666666668,223.94866666666667,-238.0606666666667,0,79.85366666666665,-55.535666666666685,1,crochet
-1.6098533333333334,0.29666,1.9065133333333333,1,-0.91434,224.9473333333333,-251.937,0,54.78433333333331,-54.12166666666669,0,crochet
-1.5388933333333332,0.3708133333333334,1.9097066666666669,1,-0.7997866666666666,243.81,-241.09166666666667,0,59.68666666666664,-48.37700000000002,0,crochet
