Min_AccX_Val,Max_AccX_Val,AccX_Amplitude,AccX_Ord(1=Max>Min),Min_AccZ_Val,Max_Roll_Val,Min_Roll_Val,Roll_Ord(1=Max>Min),Max_Pitch_Val,Min_Pitch_Val,Pitch_Ord(1=Max>Min),Type_Coup
-1.0319533333333333,-0.51158,0.5203733333333332,1,0.2799266666666666,29.51666666666667,-191.5363333333333,0,74.68766666666667,-163.457,0,crochet
-1.3265466666666663,-0.4837733333333333,0.8427733333333332,1,0.1018599999999999,-0.0513333333333295,-216.86933333333332,1,34.51466666666667,-180.29666666666665,0,crochet
-1.499426666666667,-0.4884599999999999,1.010966666666667,1,-0.08948,15.69166666666667,-198.62266666666667,1,45.00533333333333,-162.47466666666665,0,crochet
-1.3997533333333332,-0.4589133333333333,0.94084,1,-0.15444,20.18566666666667,-182.504,0,24.92466666666667,-150.1173333333333,0,crochet
-1.098326666666667,-0.42224,0.6760866666666666,1,0.3122933333333333,19.590666666666667,-182.084,0,36.78266666666666,-189.82833333333332,0,crochet
-1.1940333333333333,-0.4718333333333334,0.7222,1,0.2225599999999999,5.173000000000004,-169.85733333333334,0,26.05633333333333,-159.99200000000002,0,crochet
-1.5403,-0.4504533333333333,1.0898466666666666,1,-0.3711,39.45433333333334,-228.606,1,45.19433333333334,-176.11766666666668,0,crochet
-1.7191933333333334,-0.4232533333333333,1.29594,1,0.0656333333333332,18.43800000000001,-206.479,0,41.44466666666667,-217.28466666666665,0,crochet
-1.4392066666666667,-0.5879666666666666,0.8512400000000001,1,-0.27526,26.03533333333333,-178.57,0,39.589666666666666,-186.704,0,crochet
-1.51364,-0.68056,0.8330799999999998,1,-0.1277333333333333,11.636333333333338,-202.14366666666663,0,36.204,-237.7013333333333,0,crochet
-1.7878133333333333,-0.3741266666666666,1.4136866666666663,1,-0.1297733333333333,23.186333333333334,-167.84366666666668,0,38.00533333333335,-152.91733333333335,0,crochet
-1.28292,-0.5426333333333333,0.7402866666666668,1,-0.0328266666666667,22.89933333333333,-186.9513333333333,0,22.83866666666667,-225.1783333333333,0,crochet
-1.6717333333333333,-0.5704133333333333,1.10132,1,-0.2775733333333333,41.120333333333335,-137.96533333333335,0,44.877,-211.90866666666668,0,crochet
-1.6891733333333334,-0.5544600000000001,1.1347133333333337,1,-0.6166,38.18966666666667,-222.0283333333333,0,43.239,-168.756,0,crochet
-1.7657533333333333,-0.6176466666666667,1.1481066666666666,1,-0.2266533333333333,46.650333333333336,-164.74033333333333,0,66.08466666666666,-192.58166666666665,0,crochet
-1.81028,-0.6601666666666667,1.150113333333333,1,-0.35452,62.04566666666667,-143.28766666666667,0,37.086,-222.9873333333333,0,crochet
-1.5692799999999998,-0.71706,0.8522199999999998,1,-0.5772133333333334,24.86166666666667,-176.43733333333333,0,29.584333333333333,-183.2133333333333,0,crochet
-1.4929466666666664,-0.7204533333333334,0.772493333333333,1,-0.19394,20.10866666666667,-143.88966666666664,0,33.66766666666667,-213.77766666666668,0,crochet
-1.4699866666666668,-0.7623933333333333,0.7075933333333335,1,-0.1289,24.57933333333334,-161.07233333333335,0,20.82733333333333,-184.149,0,crochet
-1.71434,-0.7428933333333333,0.9714466666666668,1,-0.26576,34.88333333333333,-173.803,0,61.87766666666666,-205.19566666666668,1,crochet
-1.5968933333333335,-0.4367333333333333,1.16016,1,-1.9747266666666663,63.29166666666667,-203.08166666666665,0,346.8873333333333,-101.955,1,uppercut
