SeqNum,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Flex,Force1,Force2,Force3,Force4,TimestampReception
27627,-0.4978,0.7584,0.3421,0.280,-7.105,0.350,1,2,1,349,338,2025-06-05T16:18:53.441922
27628,-0.4958,0.7627,0.3416,0.980,-6.895,0.210,1,2,1,379,351,2025-06-05T16:18:53.442919
27629,-0.5017,0.7569,0.3377,1.085,-6.370,0.000,1,2,1,375,333,2025-06-05T16:18:53.442919
27630,-0.5095,0.7549,0.3396,1.505,-6.580,-0.350,1,1,2,371,349,2025-06-05T16:18:53.442919
27631,-0.5100,0.7505,0.3455,1.820,-6.965,-0.315,2,2,1,374,358,2025-06-05T16:18:53.442919
27632,-0.5104,0.7496,0.3440,2.170,-7.000,0.070,1,2,1,382,341,2025-06-05T16:18:53.442919
27633,-0.5041,0.7515,0.3357,2.240,-7.455,0.245,1,1,1,346,370,2025-06-05T16:18:53.442919
27634,-0.4958,0.7501,0.3323,2.485,-7.070,0.140,1,1,1,364,372,2025-06-05T16:18:53.442919
27635,-0.4997,0.7554,0.3309,2.380,-5.985,-0.315,1,1,1,366,393,2025-06-05T16:18:53.442919
27636,-0.5017,0.7584,0.3348,2.450,-5.600,-1.155,1,2,1,383,401,2025-06-05T16:18:53.442919
27637,-0.5065,0.7627,0.3328,2.240,-5.600,-1.645,1,1,2,376,389,2025-06-05T16:18:53.442919
27638,-0.5070,0.7598,0.3323,2.170,-5.985,-2.100,1,1,2,345,387,2025-06-05T16:18:53.442919
27639,-0.5095,0.7598,0.3343,2.030,-6.965,-2.240,2,2,1,371,381,2025-06-05T16:18:53.542099
27640,-0.5202,0.7559,0.3323,1.750,-8.120,-2.345,2,2,1,366,358,2025-06-05T16:18:53.542099
27641,-0.5168,0.7530,0.3304,1.820,-9.030,-2.590,1,1,1,371,375,2025-06-05T16:18:53.542099
27642,-0.5095,0.7501,0.3333,1.960,-9.730,-2.345,1,2,1,370,352,2025-06-05T16:18:53.542099
27643,-0.5051,0.7510,0.3348,2.030,-9.450,-2.030,2,2,1,379,376,2025-06-05T16:18:53.542099
27644,-0.4982,0.7535,0.3333,2.590,-8.330,-1.960,1,1,1,383,389,2025-06-05T16:18:53.542099
27645,-0.5012,0.7525,0.3323,3.080,-6.790,-1.960,1,1,1,388,367,2025-06-05T16:18:53.542099
27646,-0.5095,0.7510,0.3294,3.360,-6.230,-2.135,1,1,1,385,364,2025-06-05T16:18:53.542099
27647,-0.5148,0.7505,0.3279,4.130,-6.230,-2.450,1,1,1,389,380,2025-06-05T16:18:53.542099
27648,-0.5192,0.7496,0.3314,4.585,-6.265,-2.695,2,2,1,391,381,2025-06-05T16:18:53.650721
27649,-0.5163,0.7471,0.3318,5.180,-6.720,-2.730,2,2,1,380,391,2025-06-05T16:18:53.650721
27650,-0.5080,0.7501,0.3314,5.215,-7.105,-2.730,1,2,1,388,398,2025-06-05T16:18:53.650721
27651,-0.5085,0.7476,0.3294,5.285,-7.315,-2.730,2,2,1,394,397,2025-06-05T16:18:53.650721
27652,-0.5031,0.7510,0.3328,5.355,-7.175,-2.765,1,2,1,384,386,2025-06-05T16:18:53.650721
27653,-0.5036,0.7593,0.3304,5.285,-6.440,-3.010,2,1,0,361,388,2025-06-05T16:18:53.650721
27654,-0.5036,0.7632,0.3270,5.145,-5.740,-3.430,1,1,1,378,395,2025-06-05T16:18:53.650721
